RANKED SIMILARITIES: 1
6 89 0.0558195372774
6 69 0.0678405387498
6 95 0.0758162866081
6 63 0.0947513531734
6 33 0.0966567703861
6 68 0.103830402792
6 31 0.125263045498
6 3 0.128090645122
6 94 0.133492756009
6 51 0.138755542545
6 97 0.146215808353
6 73 0.156951189189
6 14 0.175385876292
6 83 0.294135402174
6 16 0.302028489136
6 92 0.378691692672
6 40 0.408452366623
6 8 0.467628873607
6 76 0.471733922296
6 54 0.524204330004
6 18 0.529809741596
6 45 0.567333146398
6 27 0.576220127527
6 37 0.620985998456
6 75 0.624218583485
6 79 0.629299193865
6 7 0.642296996692
6 88 0.665090511027
6 2 0.667675902534
6 78 0.748169765111
6 91 0.751840212855
6 58 0.774558020101
6 41 0.778275639666
6 82 0.848796694298
6 34 0.8510892584
6 15 0.853934039564
6 80 0.855181635813
6 90 0.857757405308
6 30 0.872943380001
6 72 0.877918862433
6 47 0.887687611353
6 35 0.898784694195
6 20 0.901706130563
6 71 0.903373842491
6 57 0.906217828621
6 26 0.91012717885
6 59 0.913767780076
6 62 0.913798016427
6 77 0.925537978238
6 96 0.935248620974
6 46 0.93772853283
6 43 0.94029676561
6 28 0.943864411215
6 29 0.944865298316
6 12 0.945508964978
6 66 0.945976408503
6 86 0.948370116547
6 93 0.949191307207
6 65 0.950699720167
6 74 0.952606225351
6 49 0.955236255268
6 24 0.956000962542
6 17 0.958032807874
6 85 0.959305114467
6 61 0.962089225186
6 70 0.966040550061
6 42 0.966263633875
6 22 0.966965726445
6 23 0.967865810295
6 4 0.974366667639
6 10 0.976608604634
6 5 0.979485616857
6 84 0.980677422912
6 81 0.984730192803
6 60 0.986704699216
6 36 0.988773868381
6 11 0.988850385846
6 19 0.991347762147
6 50 0.99154501166
6 9 0.992332614963
6 21 0.993646270277
6 13 0.995920465132
6 38 0.999325806177
6 39 1.0015636175
6 56 1.00169227038
6 25 inf
6 48 inf
6 52 inf
6 53 inf
6 55 inf
6 64 inf
6 67 inf
6 87 inf
RANKED SIMILARITIES: 7
7 89 0.604653313505
7 32 0.614490359255
7 95 0.618225887897
7 44 0.632008618735
7 6 0.642296996692
7 33 0.658502989575
7 14 0.659367682515
7 63 0.667096135376
7 68 0.668778064935
7 69 0.671136322569
7 94 0.688577388106
7 3 0.694714145208
7 97 0.694919585197
7 31 0.712794716989
7 73 0.716417418121
7 51 0.725517956451
7 54 0.730182060078
7 18 0.749632080625
7 16 0.781232905949
7 83 0.86887226765
7 8 0.978582022918
7 92 0.990450813824
7 40 0.993506990925
7 76 1.0426425179
7 37 1.06493814205
7 45 1.15574121186
7 27 1.18797355245
7 79 1.19103428096
7 75 1.19698050788
7 88 1.23705236969
7 2 1.27943502369
7 41 1.36307667238
7 91 1.36360197432
7 78 1.37234335356
7 58 1.38631144503
7 34 1.38788136894
7 82 1.4605853086
7 15 1.46573391828
7 80 1.46693506074
7 90 1.46951083023
7 72 1.47613235059
7 30 1.48469680493
7 35 1.49270361328
7 47 1.49946352885
7 20 1.50816505771
7 71 1.51512726742
7 57 1.51797125355
7 26 1.5218863
7 59 1.52552690123
7 62 1.52555144135
7 77 1.53729585183
7 96 1.5470020459
7 46 1.54948195775
7 43 1.55205019054
7 12 1.55218607771
7 28 1.55561783614
7 66 1.55635281804
7 29 1.55699141411
7 86 1.56012354147
7 93 1.56095042836
7 65 1.56250437453
7 74 1.56435965028
7 49 1.56692956804
7 24 1.56775438747
7 17 1.56977566028
7 85 1.5711206607
7 61 1.57384834634
7 70 1.57779967121
7 42 1.5780170588
7 22 1.57871963808
7 23 1.57914556339
7 10 1.58836202956
7 5 1.59123905485
7 84 1.59243084784
7 4 1.59581932834
7 81 1.59648361773
7 60 1.5984590198
7 36 1.60053298953
7 11 1.600609507
7 50 1.60329843659
7 9 1.60414817356
7 19 1.60485434033
7 21 1.6053996952
7 13 1.60778660809
7 38 1.6110792311
7 39 1.61331704242
7 56 1.61345139153
7 25 inf
7 48 inf
7 52 inf
7 53 inf
7 55 inf
7 64 inf
7 67 inf
7 87 inf
RANKED SIMILARITIES: 8
8 76 0.110326564499
8 79 0.254578139416
8 89 0.436974508066
8 95 0.446524066668
8 32 0.449907551662
8 44 0.455987082896
8 34 0.456353035267
8 6 0.467628873607
8 33 0.479831065904
8 63 0.492587787716
8 69 0.501721994982
8 68 0.50224728695
8 94 0.51281690066
8 14 0.519064290511
8 3 0.526277161848
8 97 0.528422977156
8 31 0.534656257482
8 73 0.541113865842
8 51 0.555752909519
8 16 0.563438143245
8 83 0.702362509255
8 92 0.815782690738
8 40 0.821804838084
8 54 0.844201470112
8 18 0.902740318846
8 37 0.93583459874
8 7 0.978582022918
8 45 0.97934371284
8 27 1.01331029768
8 75 1.02295950828
8 88 1.06723437968
8 2 1.10471143033
8 41 1.18483202538
8 91 1.18887838097
8 78 1.19764092101
8 58 1.21164819025
8 82 1.28586171524
8 15 1.29101080125
8 80 1.29227180597
8 90 1.29484757546
8 72 1.30101839349
8 30 1.31003355015
8 35 1.31952509507
8 47 1.32473993549
8 20 1.33310848196
8 71 1.34046401264
8 57 1.34330799877
8 26 1.34721817692
8 59 1.35085877814
8 62 1.35088818658
8 77 1.36262814839
8 96 1.37233879113
8 46 1.37481870298
8 12 1.37622876114
8 43 1.37738693576
8 66 1.38083675054
8 28 1.38095458137
8 29 1.38229177913
8 86 1.3854602867
8 93 1.38628230527
8 65 1.38778564948
8 74 1.3896963955
8 49 1.39222902132
8 24 1.39309113269
8 17 1.39511240551
8 85 1.39639706735
8 61 1.39918022325
8 70 1.40313154813
8 42 1.40335380403
8 22 1.404051515
8 23 1.40447744031
8 10 1.41369877479
8 5 1.41652031674
8 84 1.41776759306
8 4 1.42109573498
8 81 1.42182036296
8 60 1.42379486937
8 36 1.42586486645
8 11 1.42594138391
8 50 1.42863518181
8 9 1.4294245802
8 19 1.43013074698
8 21 1.43073644043
8 13 1.43306301473
8 38 1.43641597633
8 39 1.43865378765
8 56 1.43872779818
8 25 inf
8 48 inf
8 52 inf
8 53 inf
8 55 inf
8 64 inf
8 67 inf
8 87 inf
RANKED SIMILARITIES: 9
9 56 0.034942674347
9 12 0.151407554529
9 19 0.176055423721
9 47 0.186562646077
9 4 0.250048606043
9 82 0.330244159922
9 15 0.347985217634
9 6 0.992332614963
9 32 1.00597610586
9 65 1.00981095558
9 44 1.01685469767
9 89 1.01767071414
9 69 1.02969171561
9 95 1.03766746347
9 29 1.05100978351
9 63 1.05660253004
9 33 1.05850794725
9 68 1.06568157966
9 31 1.08711422236
9 3 1.08994182199
9 94 1.09534393287
9 51 1.10060671941
9 97 1.10806698522
9 73 1.11880236605
9 14 1.13723705316
9 78 1.17835517121
9 5 1.20998406475
9 85 1.2215750575
9 83 1.25598657904
9 16 1.263879666
9 92 1.34054286954
9 13 1.34805729844
9 40 1.37030354349
9 91 1.42289954253
9 8 1.4294245802
9 76 1.43358509916
9 54 1.48605550687
9 18 1.49166091846
9 45 1.52918432326
9 27 1.53807130439
9 37 1.58283717532
9 75 1.58606976035
9 79 1.59115037073
9 7 1.60414817356
9 2 1.61958039686
9 88 1.62694168789
9 58 1.73640919696
9 41 1.74012681653
9 34 1.81294043526
9 80 1.81703281268
9 90 1.81960858217
9 30 1.83479455687
9 72 1.8397700393
9 35 1.86063587106
9 20 1.86355730743
9 71 1.86522501936
9 57 1.86806900549
9 26 1.87197835571
9 59 1.87561895694
9 62 1.87564919329
9 77 1.8873891551
9 96 1.89709979784
9 46 1.89957970969
9 43 1.90214794247
9 28 1.90571558808
9 66 1.90782758537
9 86 1.91022129341
9 93 1.91104248407
9 74 1.91445740221
9 49 1.91708743213
9 24 1.91785213941
9 17 1.91988398474
9 61 1.92394040205
9 70 1.92789172693
9 42 1.92811481074
9 22 1.92881690331
9 23 1.92971698716
9 10 1.9384597815
9 84 1.94252859978
9 81 1.94658136967
9 60 1.94855587608
9 36 1.95062504525
9 11 1.95070156271
9 50 1.95339618852
9 21 1.95549744714
9 38 1.96117698304
9 39 1.96341479436
9 25 inf
9 48 inf
9 52 inf
9 53 inf
9 55 inf
9 64 inf
9 67 inf
9 87 inf
RANKED SIMILARITIES: 10
10 30 0.794823851033
10 80 0.869427705428
10 62 0.895084164643
10 72 0.901583761831
10 57 0.921413864834
10 43 0.930802382311
10 96 0.946969202106
10 86 0.961307921562
10 28 0.970374756068
10 74 0.974604923948
10 6 0.976608604634
10 32 0.990173440733
10 84 0.994978095734
10 21 0.997646849778
10 44 1.0010742499
10 89 1.00188687579
10 50 1.00894426639
10 38 1.01111050406
10 81 1.01329835276
10 69 1.01391002962
10 95 1.02188454554
10 63 1.04082027902
10 33 1.04272749948
10 68 1.04989746424
10 31 1.07133377459
10 3 1.07415622335
10 94 1.07956120771
10 51 1.08482627164
10 97 1.09228545121
10 73 1.10302191828
10 14 1.12144677459
10 83 1.24020101102
10 16 1.24809789413
10 39 1.30326356816
10 92 1.32476242177
10 40 1.35452309572
10 42 1.38553951054
10 37 1.40794277127
10 8 1.41369877479
10 76 1.41778882797
10 54 1.4702750591
10 18 1.47587655054
